hotel_names,star_rating,distance_from_center,swimmingpool,breakfast,breakfast_and_dinner,free_cancellation,address,Air conditioning,Heating,WiFi is available in all areas and is free of charge.,City view,Wardrobe or closet,Soundproofing,TV,Coffee machine,Private bathroom,Lift,Safety deposit box,Pets are allowed. Charges may be applicable.,24-hour front desk,Bar,Room service,Fitness centre,Spa lounge/relaxation area,Electric kettle,Minibar,Tea/Coffee maker,Restaurant,Parking garage,Airport shuttle,Non-smoking rooms,24-hour security,Towels,Facilities for disabled guests,Hairdryer,Iron,Electric vehicle charging station,city
ibis Marseille Centre Euromed,3,1300,0,1,1,1,"25 Boulevard de Dunkerque, 13002 Marseille, France",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,3
Hotel le Corbusier,3,4300,0,0,0,1,"280 boulevard Michelet, 13008 Marseille, France",1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,3
B&B HOTEL Marseille Prado Parc des Expositions,3,2300,0,1,0,1,"6 Rue de Cassis, 13008 Marseille, France",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,3
greet Marseille Centre Saint Charles,2,250,0,1,0,1,"4, allées Léon Gambetta, 13001 Marseille, France",1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3
Best Western Hotel du Mucem,3,1100,0,1,0,1,"22 rue Mazenod, 13002 Marseille, France",1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,3
Novotel Marseille Centre Prado Vélodrome,4,2100,0,1,0,1,"103, Avenue du Prado, 13008 Marseille, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,3
Hôtel du Rocher,0,6700,0,0,0,1,"141 avenue de Lattre de Tassigny, 13009 Marseille, France",1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3
B&B HOTEL Marseille Euromed,2,1500,0,0,0,1,"44 rue de Ruffi, 13003 Marseille, France",1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
Résidence Carpe Diem,0,1800,0,0,0,1,"Résidence Carpe Diem 29 rue Pautrier, 13004 Marseille, France",0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,3
B&B HOTEL Marseille Centre La Joliette,3,1100,0,0,0,1,"52 Rue de Forbin, 13002 Marseille, France",1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3
Aparthotel Adagio Access Marseille Saint Charles,3,800,0,1,0,1,"23, Rue Honnorat, 13003 Marseille, France",1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
ibis Styles Marseille Centre Prado Castellane,3,1700,0,1,0,1,"31 rue du Rouet, Castellane et Préfecture, 13006 Marseille, France",1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,3
Hôtel Maison Saint Louis - Vieux Port,3,300,0,1,0,1,"2 Rue Des Récolettes, 13001 Marseille, France",1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,3
City Résidence Marseille,0,3400,0,0,0,1,"515 rue Saint Pierre, 13012 Marseille, France",0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3
Ibis Budget Marseille Timone,2,1900,0,0,0,1,"69, Boulevard Sakakini, 13005 Marseille, France",1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3
Premiere Classe Marseille La Valentine,1,8000,0,0,0,1,"117 Traverse De La Montre - Centre Commercial Grand V, 13011 Marseille, France",1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3
Campanile Marseille Saint Antoine,3,9200,0,0,0,1,"59 Avenue Anne-Marie, 13015 Marseille, France",1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,3
B&B HOTEL Marseille Centre La Timone,2,2200,0,1,0,1,"1-3 Chemin De l'Armée d'Afrique, 13005 Marseille, France",1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3
ibis budget Marseille L'Estaque,2,8100,0,0,0,1,"17, rue du Docteur Zamenhof, 13016 Marseille, France",1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,3
Résidence Meublée Services,0,1000,0,0,0,1,"23 rue d'Italie, Castellane et Préfecture, 13006 Marseille, France",1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,3
Staycity Aparthotels Centre Vieux Port,3,350,0,0,0,1,"4 Place Pierre Bertas, 13001 Marseille, France",1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,3
Ibis Budget Marseille Est Porte d'Aubagne,2,10900,0,1,0,1,"184, Avenue de Saint Menet, 13011 Marseille, France",1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3
Odalys City Marseille Canebière,0,450,0,0,0,1,"9 Rue Sénac de Meilhan, 13001 Marseille, France",0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,3
hotelF1 Marseille EST,0,8200,0,0,0,1,"117 Traverse de la Montre ZAC de Valentine, 13011 Marseille, France",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3
Hôtel Raphael Prado - entièrement rénové en mars 2022,0,3500,0,0,0,0,"72 Avenue De Mazargues, 13008 Marseille, France",0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
Odalys City Marseille Prado Castellane,3,2300,0,0,0,1,"114 rue du Rouet et 12 rue de Cassis, 13008 Marseille, France",1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,3
Ibis Budget Marseille Valentine,2,7900,0,0,0,1,"149 Traverse De La Martine, 13012 Marseille, France",1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3
B&B HOTEL Marseille La Valentine St Menet,2,10800,0,1,0,1,"La Valentine-Saint Menet, domaine de la Reynarde, 13011 Marseille, France",1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3
B&B HOTEL Marseille La Valentine,2,8400,0,0,0,1,"ZAC La Valentine Montée du Commandant de Robien, 13011 Marseille, France",1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
Novotel Marseille Est Porte d'Aubagne,4,10900,1,1,0,1,"184 Avenue de Saint Menet, 13011 Marseille, France",1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,3
Odalys City Marseille Le Dôme,3,2500,0,0,0,1,"27, Boulevard du Marechal Juin, 13004 Marseille, France",1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3
B&B HOTEL Marseille Estaque,2,7700,0,1,0,0,"ZAC de Saumaty Séon Rue Pascal Xavier Coste, 13016 Marseille, France",1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
B&B Hôtel Marseille La Valentine Porte d'Aubagne,3,9600,0,1,0,1,"Avenue de Saint Menet, 13011 Marseille, France",1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3
Hotel Monte-Cristo,0,400,0,0,0,1,"8 Rue de la Palud, 13001 Marseille, France",0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,3
HOTEL SYLVABELLE,1,1100,0,0,0,1,"63 Rue Sylvabelle, Castellane et Préfecture, 13006 Marseille, France",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3
Chambre privée avec jacuzzi,0,1000,0,0,0,1,"8 Boulevard Eugène Pierre, 13005 Marseille, France",1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3
Five Stars S1,0,100,0,0,0,0,"20 Cours Belsunce, 13001 Marseille, France",1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3
FIVE STARS S8,0,100,0,0,0,0,"20 Cours Belsunce, 13001 Marseille, France",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
FIVE STARS S2,0,100,0,0,0,0,"20 Cours Belsunce, 13001 Marseille, France",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"Holiday Inn Paris Gare de l'Est, an IHG Hotel",4,2200,0,1,0,1,"5 rue du 8 Mai 1945, 10th arr., 75010 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
Motel One Paris-Porte Dorée,3,4900,0,0,0,1,"295 Avenue Daumesnil, 12th arr., 75012 Paris, France",1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1
Novotel Paris Porte Versailles,4,5200,0,0,0,0,"4 Av De La Porte De La Plaine, 15th arr., 75015 Paris, France",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1
"Hôtel Horset Opéra, Best Western Premier Collection",4,1900,0,0,0,0,"18 Rue d'Antin, 2nd arr., 75002 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1
D'win,2,250,0,0,0,1,"20, rue du Temple, 4th arr., 75004 Paris, France",1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1
3H Paris Marais Hôtel,3,1000,0,0,0,1,"3 rue Bailly, 3rd arr., 75003 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1
Best Western Premier Opéra Faubourg,4,2200,0,1,0,1,"49, Rue La Fayette, 9th arr., 75009 Paris, France",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
Hotel Louvre Sainte Anne,3,1600,0,0,0,0,"32 Rue Sainte-Anne, 1st arr., 75001 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
"Holiday Inn Express Paris-Canal De La Villette, an IHG Hotel",3,4000,0,1,0,1,"68, Quai De La Seine, 19th arr., 75019 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1
Hotel 34B - Astotel,3,1900,0,1,0,1,"34, rue Bergère, 9th arr., 75009 Paris, France",1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1
Hôtel Le Presbytère,3,250,0,1,0,1,"78, Rue De La Verrerie, 4th arr., 75004 Paris, France",1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1
Hotel Duquesne Eiffel,3,3100,0,1,0,1,"23, Avenue Duquesne, 7th arr., 75007 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
Hotel Saint-Louis en L'Isle,3,500,0,0,0,0,"75 Rue Saint-Louis en L'ile, 4th arr., 75004 Paris, France",1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
SO Paris Hotel,5,1100,1,1,0,1,"10 rue Agrippa d Aubigne, 4th arr., 75004 Paris, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1
Hôtel Albe Saint Michel,3,600,0,1,0,1,"1 Rue de la Harpe, 5th arr., 75005 Paris, France",1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
Hotel Malte - Astotel,4,1500,0,1,0,1,"63 rue de Richelieu, 2nd arr., 75002 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1
Hôtel Brighton - Esprit de France,4,1900,0,1,0,1,"218 rue de Rivoli, 1st arr., 75001 Paris, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1
Maison Souquet,5,3300,1,1,0,1,"10 rue de Bruxelles, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1
Best Western Plus La Demeure,4,2100,0,0,0,1,"51, Boulevard Saint Marcel, 13th arr., 75013 Paris, France",1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1
Hotel Andréa,3,200,0,0,0,1,"3 Rue Saint-Bon, 4th arr., 75004 Paris, France",1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
Hôtel Mansart - Esprit de France,4,2100,0,1,0,1,"5, rue des Capucines, 1st arr., 75001 Paris, France",1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1
Hotel France Albion,2,2500,0,1,0,1,"11, rue Notre Dame de Lorette, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
Hotel de L'Empereur by Malone,3,3100,0,1,0,1,"2 Rue Chevert, 7th arr., 75007 Paris, France",1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1
Le Pavillon des Lettres - Small Luxury Hotels of the World,4,2900,0,1,0,1,"12 rue des Saussaies, 8th arr., 75008 Paris, France",1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1
Best Western Aramis Saint Germain,3,2100,0,1,0,1,"124, rue de Rennes, 6th arr., 75006 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1
Hôtel Albert 1er,3,2600,0,1,0,1,"162 Rue La Fayette, 10th arr., 75010 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
Hotel Abbatial Saint Germain,3,800,0,0,0,0,"46 Bld St Germain, 5th arr., 75005 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1
Hôtel de la Place du Louvre - Esprit de France,4,800,0,1,0,1,"21, rue des Prêtres St-Germain l'Auxerrois, 1st arr., 75001 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1
Hôtel De Nice,3,300,0,0,0,1,"42 Bis, Rue de Rivoli, 4th arr., 75004 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Hôtel Le Lavoisier,4,3000,0,0,0,1,"21, rue Lavoisier, 8th arr., 75008 Paris, France",1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
Hotel du Pré,3,2300,0,0,0,0,"10, Rue Pierre Semard, 9th arr., 75009 Paris, France",0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1
Hotel Inn Design Paris Place d’Italie (ex Timhotel),3,2800,0,1,0,1,"178 Boulevard Vincent Auriol, 13th arr., 75013 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1
Prince de Conde,4,1100,0,0,0,1,"39 Rue de Seine, 6th arr., 75006 Paris, France",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1
Hôtel Duo,4,200,0,1,0,1,"11 Rue Du Temple, 4th arr., 75004 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1
"The Hoxton, Paris",0,1500,0,0,0,1,"32 Rue du Sentier, 2nd arr., 75002 Paris, France",1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1
Hotel Armoni Paris,4,5300,0,0,0,1,"7 Villa Berthier, 17th arr., 75017 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Hotel Aida Opera,3,2000,0,1,0,1,"11 rue Richer, 9th arr., 75009 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1
Hôtel Parc Saint-Séverin - Esprit de France,4,700,0,1,0,1,"22 Rue de La Parcheminerie, 5th arr., 75005 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Best Western Ronceray Opéra,3,1800,0,0,0,0,"10 Boulevard Montmartre, 9th arr., 75009 Paris, France",1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
Korner Opera,3,1600,0,0,0,1,"154 Rue Montmartre, 2nd arr., 75002 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1
Le Grand Hôtel de Normandie,4,2800,0,1,0,1,"4, rue Amsterdam, 9th arr., 75009 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1
Maison Albar Hotels Le Pont-Neuf,5,700,1,1,0,1,"23-25 rue de Pont Neuf, 1st arr., 75001 Paris, France",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1
Hotel Park Lane Paris,4,3100,0,1,0,1,"4 Rue La Boetie, 8th arr., 75008 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1
Hotel Saint Honore,3,800,0,0,0,1,"85 Rue Saint Honore, 1st arr., 75001 Paris, France",1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1
Hôtel des Saints Pères - Esprit de France,4,1600,0,1,0,1,"65 rue des Saints Pères, 6th arr., 75006 Paris, France",1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Grand Hôtel de L'Univers Saint-Germain,3,1100,0,0,0,1,"6 Rue Grégoire de Tours, 6th arr., 75006 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1
Hotel Britannique,3,400,0,0,0,1,"20 Avenue Victoria, 1st arr., 75001 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1
Maison Albar Hotels Le Diamond,5,2900,0,1,0,1,"4, rue de la Pépinière, 8th arr., 75008 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
Graphik Montparnasse,3,3100,0,1,0,1,"131 Avenue du Maine, 14th arr., 75014 Paris, France",1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
Le Malown,3,2600,0,1,0,1,"12 Rue Greffulhe, 8th arr., 75008 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1
Hôtel du Rond-point des Champs-Élysées - Esprit de France,4,3400,1,1,0,1,"10, Rue de Ponthieu, 8th arr., 75008 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
Hotel Duminy-Vendome,4,1900,0,1,0,1,"3/5 rue du Mont-Thabor, 1st arr., 75001 Paris, France",1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1
Hotel Beausejour,3,1900,0,0,0,1,"71 avenue Parmentier, 11th arr., 75011 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1
Mercure Paris Alesia,4,4200,0,1,0,1,"185 Boulevard Brune, 14th arr., 75014 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1
Hotel Vignon,4,2500,0,0,0,1,"23 Rue Vignon, 8th arr., 75008 Paris, France",1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1
Europe Saint Severin-Paris Notre Dame,3,700,0,0,1,1,"38,40, Rue Saint Severin, 5th arr., 75005 Paris, France",1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
Hotel du Petit Moulin,4,900,0,1,0,1,"29-31 rue de Poitou, 3rd arr., 75003 Paris, France",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1
Hotel Moderne Saint Germain,3,900,0,1,0,1,"33, Rue Des Ecoles, 5th arr., 75005 Paris, France",1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
Hôtel Elixir,3,400,0,0,0,1,"7 Rue Jean Lantier, 1st arr., 75001 Paris, France",1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1
Hôtel Perreyve,3,1800,0,1,0,1,"63 Rue Madame, 6th arr., 75006 Paris, France",1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
Hôtel Square Louvois,4,1700,1,1,0,1,"12 Rue de Louvois, 2nd arr., 75002 Paris, France",1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1
Pullman Paris Tour Eiffel,4,4300,0,1,1,1,"18 Avenue De Suffren, Entrée au 22 rue Jean Rey, 15th arr., 75015 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1
Hôtel Diva Opera,4,1900,0,0,0,1,"11 rue de Trévise, 9th arr., 75009 Paris, France",1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1
Hotel Imperial Paris,3,2300,0,0,0,1,"45 rue de la Victoire, 9th arr., 75009 Paris, France",1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
citizenM Paris Gare de Lyon,4,2100,0,1,0,1,"8 Rue Van Gogh, 12th arr., 75012 Paris, France",1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
Bradford Elysées - Astotel,4,3600,0,1,0,1,"10 rue Saint-Philippe-du-Roule, 8th arr., 75008 Paris, France",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
Best Western Premier Faubourg 88,4,2300,0,0,0,1,"88 rue du Faubourg Poissonière, 10th arr., 75010 Paris, France",1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
Le Pigalle Hotel,4,3000,0,1,0,1,"9 rue frochot, 9th arr., 75009 Paris, France",1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
Hotel Terminus Lyon,3,1900,0,0,1,1,"19, Boulevard Diderot, 12th arr., 75012 Paris, France",1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1
Austin's Saint Lazare Hotel,3,2900,0,1,0,1,"26 Rue d'Amsterdam, 9th arr., 75009 Paris, France",1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1
OKKO Hotels Paris Gare de l'Est,4,2400,0,1,0,1,"30A rue d'Alsace, 10th arr., 75010 Paris, France",1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1
La Maison Champs Elysées,5,3300,0,1,0,1,"8 Rue Jean Goujon, 8th arr., 75008 Paris, France",1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1
Arc de Triomphe Etoile,3,4600,0,0,0,1,"3 rue de l'Etoile, 17th arr., 75017 Paris, France",1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1
Hotel Royal Phare,0,3300,0,0,0,1,"40, Avenue De La Motte-Picquet, 7th arr., 75007 Paris, France",1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
Hôtel De l'Arcade,3,2600,0,0,0,1,"9, Rue De L'arcade, 8th arr., 75008 Paris, France",1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
Hotel Terminus Montparnasse,3,2500,0,0,0,1,"59 Boulevard du Montparnasse, 6th arr., 75006 Paris, France",0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
